passage_id,verse_id
1,17455
2,22599
3,20302
4,20443
5,14239
6,29983
7,8314
8,12224
9,11322
10,14977
11,24864
12,13137
13,32536
14,32503
15,15121
16,7126
16,7127
16,7128
17,14221
18,22205
19,32020
20,15046
21,13451
22,28528
23,17315
24,13604
25,9034
26,4969
27,3961
28,31298
29,31122
30,32693
31,24867
32,8756
33,23110
34,15612
35,13453
36,14337
37,19005
37,31860
38,21223
38,21224
39,11718
39,11719
39,11720
39,11721
39,11722
39,11723
39,11724
39,11725
39,11726
40,3410
41,20758
42,9620
43,28789
43,28790
44,32281
45,29331
46,28661
47,21468
47,21469
48,23299
49,23118
50,21236
51,16750
52,14053
53,30942
54,9482
55,15052
56,31813
57,22607
58,31902
59,32699
60,2591
61,10015
62,8333
63,32699
64,28529
65,24864
66,13437
66,13438
66,13439
67,13372
68,14221
69,5179
70,28522
71,20636
72,20630
73,17598
74,17463
75,22089
76,32787
77,14075
78,6989
79,3273
80,32530
81,29187
82,14936
83,24864
84,7130
85,7220
86,32300
87,28790
88,24867
89,22527
90,7134
91,29346
92,9963
93,9978
94,10668
95,9984
96,9965
97,9971
98,12216
99,10732
100,23213
101,9966
102,9972
103,9961
104,17211
105,32689
106,9976
107,20635
108,14075
109,24232
110,25573
111,21797
112,9984
113,28528
114,14974
115,15612
116,10562
116,10563
117,28789
118,24231
119,14977
119,14979
120,29349
120,29350
120,29351
120,29352
120,29353
121,32020
121,32022
122,4969
123,28522
123,28523
124,12208
125,9973
126,29321
127,32530
128,9967
129,24864
130,29201
131,28809
132,24867
133,28523
134,11724
134,11725
135,29335
135,29336
135,29337
135,29338
136,9964
137,9962
138,3297
139,9977
140,28789
141,9968
142,12208
143,32679
144,9976
145,10358
146,9972
147,9984
148,9966
149,9958
150,9963
151,32270
152,32531
153,13665
154,32533
154,32675
154,32676
154,32677
154,32678
155,29335
155,29336
155,29337
155,29338
156,17315
157,32020
157,32022
158,11724
158,11725
159,28525
160,24865
161,10483
162,5603
163,28522
164,8756
165,24448
165,24449
166,19997
167,32700
168,9957
169,16711
170,3237
171,25923
172,4322
173,24981
173,24983
173,24985
173,24987
173,24989
174,5020
175,9989
176,3769
176,3770
177,9993
178,10145
179,16046
180,3257
180,3258
180,3259
180,3260
180,3261
181,28773
182,32683
182,32684
182,32685
182,32686
183,28557
184,20490
185,9982
186,14266
186,14268
187,22480
188,3488
188,3489
188,3490
189,4322
190,20245
191,3770
192,15088
193,5457
194,5921
195,28791
196,13451
197,4611
198,7061
199,29584
200,8473
201,29358
201,29359
202,19128
203,33416
204,29339
204,29340
204,29341
205,25573
205,25575
206,14958
207,28512
208,17211
209,9249
209,9250
210,10745
211,23954
212,28514
213,3966
214,5517
215,7979
216,6288
216,6289
217,32183
217,32185
217,32187
218,4989
219,2931
219,2932
220,5959
221,8619
222,17221
223,5942
223,5943
224,28788
225,32688
225,32689
226,23299
226,23300
227,2558
227,2559
228,7974
229,16587
230,24231
230,24232
230,24233
230,24234
230,24235
230,24236
231,10732
232,8616
233,13319
234,12433
235,19128
236,28788
237,23299
238,28790
239,29334
240,9079
240,9081
240,9083
241,21555
242,9063
242,9064
243,9499
244,24236
245,4801
246,13451
247,4611
248,5283
249,32183
249,32185
249,32187
250,14075
251,28839
252,25573
253,23299
254,10745
255,23297
256,29339
257,22036
258,24236
259,16587
260,10823
261,22600
262,9983
263,10727
264,9975
265,9967
266,10148
267,24420
268,9960
269,32693
269,32694
270,28795
271,5621
272,28520
273,10727
274,10739
275,9243
276,10729
277,32693
277,32694
277,32695
278,9978
279,29817
280,14509
281,3454
282,5611
283,9971
284,10549
285,9984
286,10565
287,15162
288,31464
289,15288
290,10727
291,28632
291,28633
292,11904
293,11819
294,31735
295,29642
296,29488
297,10733
298,9981
299,10285
300,10291
301,31595
302,29366
302,29367
303,29377
304,10549
305,29373
306,23994
306,23996
307,29369
308,10729
309,10565
310,29488
311,32692
312,28795
313,29462
314,32687
315,10148
315,10149
316,29968
316,29969
316,29970
317,28528
318,15674
319,29151
320,10734
320,10735
320,10736
321,12874
322,20974
323,11640
324,15925
325,21943
326,10738
327,23300
327,23301
327,23302
327,23303
327,23304
328,15930
329,10176
330,28801
331,21222
332,22595
333,10357
334,7308
335,15676
336,21404
337,21939
338,29710
339,32322
340,10935
341,6874
342,23128
342,23129
342,23130
342,20289
343,32689
343,32690
343,32691
343,32692
343,32693
344,22748
344,22749
345,17819
346,22746
347,20614
348,11077
349,21222
350,10357
350,10358
351,20974
351,20975
351,20976
352,13751
353,10150
353,10151
353,10152
353,10153
353,10154
354,3065
355,10147
356,3820
357,5083
358,32429
359,21233
360,20614
361,20422
362,31208
363,14348
364,10001
365,14221
366,31735
367,22338
368,10739
369,29642
370,10733
371,15288
372,11779
373,31464
373,31466
374,12154
374,12156
375,10727
376,31450
376,31452
376,31454
376,31456
376,31458
377,9975
378,12334
379,11149
379,11151
380,11231
381,9855
382,32643
383,23557
384,28649
384,28650
385,10735
386,22599
386,22600
387,28774
388,24448
389,28662
390,32696
390,32697
391,5714
392,32538
393,32219
394,32146
395,12949
396,22748
397,3219
398,29188
399,22528
400,32683
400,32684
401,3232
401,3233
402,22207
403,10145
404,29493
405,29488
406,29372
407,29473
408,29376
409,28649
409,28650
410,29366
410,29367
410,29368
411,32683
412,10735
413,28774
414,9976
415,22339
416,9972
417,14239
418,9961
419,16820
420,32700
421,9966
422,24231
422,24232
423,9958
424,32693
425,9986
426,29334
427,14085
428,32530
429,19128
430,18219
431,14336
432,2591
433,24867
434,14503
435,32020
435,32022
435,32183
435,32185
436,13604
437,4969
438,13451
438,13452
438,13453
439,33321
440,3522
441,19005
441,31860
441,31861
442,14264
443,9963
444,24864
445,14985
446,15121
447,14565
448,18985
448,18987
448,19004
449,29969
450,14221
451,9988
452,28661
453,12961
454,9954
455,18509
456,14239
457,29983
458,20320
459,2702
460,14977
461,14336
462,14233
462,14235
462,14237
462,14239
463,19288
464,20321
465,15049
466,7308
467,9984
468,14614
469,14276
469,14278
469,14280
469,14282
469,14284
469,14286
470,13818
470,13820
471,16850
471,16851
471,16852
471,16853
471,16854
471,16855
471,16856
472,7072
473,16779
474,14045
474,14046
474,14047
474,14048
474,14049
474,14050
474,14051
474,14173
474,14174
475,20321
475,20322
475,20323
475,20324
475,20325
475,20326
475,20327
476,14332
476,14333
476,14334
476,14335
476,14336
477,29991
478,19286
478,19287
478,19288
479,4210
480,15049
481,14614
481,14616
482,17401
482,17403
483,7597
484,14233
484,14235
484,14237
484,14239
485,30442
485,30443
485,30444
485,30445
485,30446
485,30447
485,30448
485,30449
486,11904
487,13662
488,31901
488,31902
489,10938
490,15007
491,10897
492,13898
493,10357
494,18674
495,12029
496,9954
497,9981
498,24092
499,8778
500,9957
501,8146
502,9984
503,13878
504,29355
505,32250
506,23627
507,12012
508,8029
509,9060
510,11973
511,11958
512,29353
512,29354
512,29355
513,10180
514,20490
515,31982
516,10177
517,9964
517,9965
518,32683
519,29697
520,24981
520,24983
520,24985
521,3205
522,16541
523,10342
524,10847
525,32322
526,29620
527,21561
528,32520
529,18600
530,11017
530,11019
531,10981
532,22090
533,10177
534,28879
535,22600
536,32429
536,32431
537,19918
538,10522
539,4969
540,28881
541,22266
542,21423
543,12379
544,10573
545,2435
546,12874
547,28532
548,10173
549,22102
550,21559
551,18845
552,10178
553,8501
554,9239
555,9235
556,5914
557,12301
558,14893
559,8668
560,9220
560,9221
561,10346
562,10157
563,7385
564,9239
565,9235
566,19455
567,12112
568,14055
569,10146
570,9220
570,9221
571,14406
572,20753
573,8165
574,9621
575,9609
576,10176
577,11321
578,8132
579,25262
580,9608
581,10903
582,27494
583,10925
584,11971
585,13238
586,15094
587,20165
588,28568
589,8668
590,12243
591,10902
592,7700
593,10918
594,8631
595,19949
596,12677
597,11971
598,8500
599,10907
600,20618
601,28846
602,9986
603,31462
604,9992
605,9993
606,10155
606,10156
607,22528
608,22339
609,27632
610,15516
611,23057
612,20280
612,20281
612,20282
612,20283
612,20284
612,20285
613,10173
614,21894
615,22046
615,22047
615,22048
615,22049
616,21715
617,10155
617,10156
617,10157
617,10158
618,21055
619,22063
620,21384
621,19902
622,22357
623,19846
624,9475
625,10608
626,9531
627,19352
628,28368
629,8698
630,21887
631,21862
631,21863
631,21864
631,21865
631,21866
631,21867
631,21868
631,21869
631,21870
631,21871
632,8834
633,20636
634,24201
635,8169
636,9993
637,10165
638,27474
639,21481
640,9523
641,9484
642,24196
643,19842
644,15323
644,15325
644,15327
645,17959
646,27479
647,10171
648,8707
649,9467
650,21536
651,26150
652,16678
653,20606
654,22178
654,22179
654,22180
655,9984
656,28341
657,10166
658,10601
659,20974
659,20975
659,20976
659,20977
659,20978
659,20979
660,11039
660,11040
660,11199
660,11201
661,10151
661,10152
662,10734
663,10549
664,9981
665,23300
665,23301
665,23302
665,23303
665,23304
666,9973
666,9974
666,9975
666,9976
666,9977
666,9978
666,9979
667,10147
668,28969
669,26589
670,29614
671,9317
672,10764
673,12665
674,21447
675,31450
676,10148
677,22180
678,20975
678,20976
679,10601
680,10762
681,10052
682,20975
682,20976
683,27503
684,20650
684,20651
684,20652
685,26649
686,26641
687,10282
688,18990
689,10632
689,10634
690,5082
690,5083
690,5084
